id,"name",artist_id,"created_at","updated_at",display
99,"愛の弾丸",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
100,"大人にはなりたくない 早く大人になりたい",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
101,"ああ、夜が明ける",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
102,"単純すぎなの私…",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
103,"甘酸っぱい春にサクラサク",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
104,"かっちょ良い歌",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
105,"恋愛模様",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
106,"青春劇場(Berryz工房 Ver.)",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
107,"新しい日々",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
108,"Because happiness",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
109,"Shy boy",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
110,"世の中薔薇色",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
111,"Mythology〜愛のアルバム〜",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
112,"もう、子供じゃない私なのに…",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
113,"Be 元気＜成せば成るっ!＞",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
114,"超HAPPY SONG",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
115,"Loving you Too much",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
116,"cha cha SING",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
117,"ももち！許してにゃん体操",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
118,"勇気をください!",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
119,"WANT!",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
120,"恋 いとしき季節",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
121,"男前",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
122,"なんだかんだで良い感じ！",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
123,"まっすぐな私",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
124,"すっちゃかめっちゃか〜",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
125,"I like a picnic",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
126,"世界で一番大切な人",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
127,"アジアン セレブレイション",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
128,"サヨナラ ウソつきの私",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
129,"ゴールデン チャイナタウン",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
130,"I'm so cool!",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
131,"ROCKエロティック",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
132,"もっとずっと一緒に居たかった",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
133,"恋するテクニック",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
134,"1億3千万総ダイエット王国",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
135,"大人なのよ！",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
136,"女の子にしかわかんない丁度があるの",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
137,"コイセヨ！",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
